DEPTH,CALI,DPHI,GR,GR,ILD,ILM,LL8,NPHI,SP
14540,11.963,0.236,63.958,65.19,5.113,5.035,5.692,0.266,7.624
14540.5,11.897,0.235,63.958,64.776,5.192,5.192,5.78,0.263,7.954
14541,11.864,0.227,63.958,61.879,5.192,5.192,5.96,0.265,7.954
14541.5,11.997,0.198,63.958,57.326,5.192,5.192,6.052,0.273,7.954
14542,11.93,0.174,63.958,55.257,5.113,5.192,6.052,0.262,7.954
14542.5,11.894,0.173,64.705,55.147,5.139,5.199,6.086,0.256,7.952
14543,11.889,0.181,66.95,54.807,5.035,5.035,5.96,0.252,7.956
14543.5,12.061,0.19,67.724,53.867,4.883,5.035,5.869,0.257,7.97
14544,12.23,0.196,68.679,52.799,4.809,4.959,5.692,0.27,7.949
14544.5,12.355,0.19,69.5,55.082,4.736,4.959,5.606,0.275,7.772
14545,12.468,0.184,70.669,58.009,4.736,4.959,5.417,0.277,7.454
14545.5,12.564,0.183,71.04,59.889,4.736,4.883,5.354,0.28,6.822
14546,12.766,0.193,70.456,61.015,4.523,4.809,5.354,0.284,6.564
14546.5,12.748,0.208,69.038,60.239,4.664,4.664,5.272,0.297,5.739
14547,12.722,0.214,68.151,58.947,4.593,4.664,5.272,0.298,4.957
14547.5,12.613,0.217,66.874,58.579,4.523,4.523,5.272,0.298,3.809
14548,12.664,0.221,65.63,60.034,4.523,4.454,5.192,0.294,2.941
14548.5,12.822,0.236,64.468,61.055,4.387,4.454,5.113,0.29,2.171
14549,12.872,0.254,63.63,61.075,4.959,4.387,4.959,0.287,1.294
14549.5,12.718,0.268,63.563,60.086,4.736,4.454,4.959,0.283,0.717
14550,12.686,0.271,63.537,59.755,4.809,4.593,4.959,0.28,0.489
14550.5,12.74,0.243,63.561,60.596,4.883,4.593,4.959,0.278,-0.08
14551,12.818,0.223,64.205,62.296,4.698,4.593,5.192,0.276,-0.311
14551.5,12.603,0.217,64.445,63.019,4.593,4.664,5.354,0.274,-0.326
14552,12.466,0.22,64.444,63.899,4.664,4.593,5.52,0.272,0.002
14552.5,12.436,0.22,64.397,61.599,4.593,4.664,5.52,0.272,0.021
14553,12.659,0.217,64.382,61.613,4.883,4.664,5.436,0.272,0.044
14553.5,12.754,0.229,64.151,61.646,4.809,4.736,5.354,0.272,0.065
14554,12.619,0.255,63.886,62.697,4.883,4.736,5.354,0.274,0.385
14554.5,12.03,0.269,63.116,62.661,5.113,4.809,5.436,0.275,0.362
14555,12.002,0.244,62.356,62.689,4.883,4.883,5.869,0.276,0.361
14555.5,11.976,0.231,62.312,64.6,4.959,4.883,6.145,0.274,0.362
14556,12.015,0.22,62.315,65.805,5.113,4.883,6.24,0.271,0.353
14556.5,12.052,0.244,62.659,66.373,5.113,4.883,6.435,0.268,0.119
14557,12.099,0.276,62.973,66.383,5.035,4.809,6.737,0.268,-0.142
14557.5,12.162,0.277,63.285,66.047,4.883,4.664,7.163,0.274,-0.313
14558,12.162,0.245,63.579,65.411,4.664,4.523,7.386,0.294,-1.138
14558.5,12.07,0.217,63.947,64.114,4.254,4.32,6.841,0.322,-1.788
14559,12.457,0.209,63.96,62.718,4.063,4.254,6.337,0.34,-2.134
14559.5,12.742,0.213,63.726,61.925,3.94,4.126,5.692,0.344,-2.325
14560,13.094,0.298,62.898,59.651,3.706,4.126,4.959,0.332,-1.631
14560.5,13.115,0.398,62.517,55.559,3.486,4.063,6.145,0.305,-1.231
14561,12.399,0.375,60.474,51.75,3.381,3.88,6.635,0.301,-0.589
14561.5,11.493,0.367,57.728,49.657,3.278,3.381,6.947,0.3,-0.389
14562,10.96,0.373,52.519,48.99,3.084,2.77,5.436,0.3,-0.333
14562.5,11.76,0.421,50.295,49.747,2.9,2.527,3.54,0.304,-0.035
14563,12.414,0.442,49.132,55.264,2.813,2.376,2.77,0.316,0.015
14563.5,13.393,0.454,54.757,58.321,2.645,2.27,2.605,0.356,-0.03
14564,14.268,0.452,57.08,60.261,2.527,2.235,2.645,0.387,-0.505
14564.5,14.887,0.37,61.371,59.891,2.488,2.27,2.813,0.427,-1.19
14565,15.056,0.364,64.375,58.699,2.527,2.376,3.54,0.431,-2.167
14565.5,15.097,0.345,65.27,57.808,2.605,2.527,4.053,0.427,-2.194
14566,14.94,0.333,64.828,63.882,2.728,2.645,4.809,0.413,-2.626
14566.5,14.198,0.334,63.966,67.045,2.856,2.77,4.959,0.397,-3.024
14567,13.847,0.357,64.223,69.695,2.945,2.813,4.883,0.391,-3.258
14567.5,13.762,0.37,65.576,69.954,2.99,2.813,4.387,0.388,-3.533
14568,14.104,0.393,67.626,66.718,2.77,2.686,3.594,0.387,-3.315
14568.5,13.683,0.395,69.055,65.013,2.728,2.488,3.131,0.389,-2.964
14569,13.415,0.377,66.317,62.801,2.728,2.413,2.9,0.391,-2.756
14569.5,13.573,0.347,63.877,57.576,2.645,2.413,2.728,0.395,-2.218
14570,13.857,0.314,61.302,57.333,2.605,2.488,2.645,0.426,-1.95
14570.5,13.269,0.289,60.406,57.585,2.527,2.625,2.605,0.439,-1.038
14571,13.041,0.28,62.965,58.957,2.527,2.749,2.707,0.433,-0.231
14571.5,13.014,0.273,63.321,58.922,2.546,2.878,2.9,0.417,-0.447
14572,13.346,0.271,62.07,58.741,2.666,2.945,3.155,0.407,0.011
14572.5,13.97,0.299,62.328,60.208,2.878,2.99,3.229,0.399,-0.181
14573,14.262,0.353,63.359,62.252,3.061,3.084,3.254,0.4,-0.671
14573.5,14.434,0.327,65.004,63.925,3.229,3.084,3.433,0.4,-1.149
14574,14.903,0.294,66.625,65.214,3.18,3.084,3.854,0.394,-1.482
14574.5,15.405,0.286,70.048,67.018,3.084,3.06,4.222,0.345,-1.979
14575,15.477,0.284,70.803,69.445,3.014,2.99,4.32,0.316,-1.952
14575.5,15.54,0.284,68.77,71.172,2.945,2.968,4.033,0.32,-1.943
14576,15.555,0.284,66.381,70.216,2.923,2.9,3.46,0.339,-1.953
14576.5,15.56,0.287,64.624,68.112,2.856,2.856,3.18,0.368,-1.959
14577,15.508,0.3,63.063,65.758,2.856,2.856,2.878,0.391,-1.793
14577.5,15.246,0.346,63.094,63.471,2.9,2.9,2.77,0.409,-1.451
14578,14.997,0.376,63.509,62.495,2.945,2.923,2.728,0.417,-1.114
14578.5,14.713,0.38,63.744,62.305,2.991,2.968,2.728,0.417,-0.945
14579,14.814,0.369,64.861,62.075,3.18,3.037,2.902,0.412,-0.914
14579.5,14.898,0.365,65.536,61.684,3.18,3.107,3.279,0.407,-1.397
14580,14.857,0.377,66.048,53.744,3.229,3.18,3.706,0.408,-1.884
14580.5,14.653,0.386,64.867,52.509,3.229,3.18,4.189,0.414,-2.002
14581,14.595,0.385,63.045,52.545,3.229,3.18,4.883,0.414,-2.629
14581.5,14.51,0.37,62.244,53.115,3.18,3.084,5.354,0.405,-2.827
14582,14.318,0.359,63.016,61.567,3.131,2.945,5.035,0.376,-3.174
14582.5,14.119,0.298,65.118,65.911,3.084,2.728,4.387,0.357,-3.328
14583,14.05,0.303,67.118,61.489,2.99,2.527,3.65,0.356,-3.868
14583.5,13.943,0.308,65.072,57.705,2.945,2.45,3.278,0.389,-3.897
14584,13.789,0.312,62.732,52.924,2.9,2.45,3.037,0.401,-4.188
14584.5,13.684,0.316,62.09,51.264,2.9,2.566,2.9,0.41,-4.331
14585,13.613,0.32,62.117,51.33,2.856,2.728,3.486,0.433,-4.621
14585.5,13.459,0.355,63.052,53.484,2.9,2.856,4.664,0.443,-4.601
14586,13.135,0.377,62.837,60.69,2.9,2.9,7.054,0.462,-4.353
14586.5,11.352,0.373,62.482,63.254,2.9,2.856,7.386,0.473,-3.97
14587,10.944,0.3655,60.812,64.953,2.856,2.813,4.959,0.371,-3.35
